,Time stamp,Open,Close,High,Low,Volume,Open_lag_1,Open_lag_2,Open_lag_3,Close_lag_1,Close_lag_2,Close_lag_3,High_lag_1,High_lag_2,High_lag_3,Low_lag_1,Low_lag_2,Low_lag_3,Volume_lag_1,Volume_lag_2,Volume_lag_3
0,2020-02-14 15:59:00,324.83,324.95,324.95,324.67,282969.0,324.8,324.98,324.91,324.82,324.8,324.97,324.96,324.99,325.0,324.76,324.77,324.85,149813.0,147054.0,113817.0
1,2020-02-14 15:58:00,324.8,324.82,324.96,324.76,149813.0,324.98,324.91,324.97,324.8,324.97,324.89,324.99,325.0,324.99,324.77,324.85,324.78,147054.0,113817.0,148127.0
2,2020-02-14 15:57:00,324.98,324.8,324.99,324.77,147054.0,324.91,324.97,324.52,324.97,324.89,324.97,325.0,324.99,324.99,324.85,324.78,324.51,113817.0,148127.0,245288.0
3,2020-02-14 15:56:00,324.91,324.97,325.0,324.85,113817.0,324.97,324.52,324.4,324.89,324.97,324.51,324.99,324.99,324.54,324.78,324.51,324.33,148127.0,245288.0,89159.0
4,2020-02-14 15:55:00,324.97,324.89,324.99,324.78,148127.0,324.52,324.4,324.33,324.97,324.51,324.38,324.99,324.54,324.47,324.51,324.33,324.29,245288.0,89159.0,62199.0
5,2020-02-14 15:54:00,324.52,324.97,324.99,324.51,245288.0,324.4,324.33,324.45,324.51,324.38,324.32,324.54,324.47,324.49,324.33,324.29,324.26,89159.0,62199.0,73580.0
6,2020-02-14 15:53:00,324.4,324.51,324.54,324.33,89159.0,324.33,324.45,324.49,324.38,324.32,324.42,324.47,324.49,324.67,324.29,324.26,324.36,62199.0,73580.0,113291.0
7,2020-02-14 15:52:00,324.33,324.38,324.47,324.29,62199.0,324.45,324.49,324.47,324.32,324.42,324.46,324.49,324.67,324.5,324.26,324.36,324.38,73580.0,113291.0,68086.0
8,2020-02-14 15:51:00,324.45,324.32,324.49,324.26,73580.0,324.49,324.47,324.42,324.42,324.46,324.45,324.67,324.5,324.49,324.36,324.38,324.37,113291.0,68086.0,84789.0
9,2020-02-14 15:50:00,324.49,324.42,324.67,324.36,113291.0,324.47,324.42,324.4,324.46,324.45,324.43,324.5,324.49,324.45,324.38,324.37,324.34,68086.0,84789.0,43494.0
10,2020-02-14 15:49:00,324.47,324.46,324.5,324.38,68086.0,324.42,324.4,324.37,324.45,324.43,324.34,324.49,324.45,324.45,324.37,324.34,324.29,84789.0,43494.0,41074.0
11,2020-02-14 15:48:00,324.42,324.45,324.49,324.37,84789.0,324.4,324.37,324.18,324.43,324.34,324.37,324.45,324.45,324.45,324.34,324.29,324.18,43494.0,41074.0,86499.0
